,Unnamed: 0,review,rating
17,17,"Pleasant stay at the Seattle Monaco Our 2 night weekend getaway at the Seattle Monaco went off without a hitch. From check-in to check-out, the hotel was a pleasurable jumping off point for our activities around town. Comfortable bed, spacious room, nice bathroom.The front desk staff was helpful with suggestions regarding unique places to dine at for both early morning and late night jaunts.",4
18,18,"Good Hotel for Downtown stay I was here for 5 days/4 nights on a business trip and not having been to Seattle before, I didn't know quite what to expect. The hotel overall was a pleasant surprise. It is an older building that has obviously been substantially rennovated. I was in a room on 3rd floor facing the street but heard no traffic noise at all. The room was very well appointed and spacious. The service provided by staff was prompt and friendly, not intrusive or slow at any time. One minor exception was slow delivery of room service coffee one evening, the waiter said there would be no charge. Housekeeping was well done.I would definitely consider for another stay on a future visit.",4
19,19,"Fan of the Hotel Monaco Seattle Just got back from our weekend at the Hotel Monaco Seattle. I did manage to read most of the recent reviews on Tripadvisor. Pros to this hotel: incredibly clean (and I'm a germaphobe so this means clean), hospitable staff, fun design, pet-friendly, and great products (L'Occitane) for guests to use. I truly enjoyed our stay, though I'm not sure the rate/night is enough bang for your buck, even in the Monte Carlo suite. We needed a weekend to relax and wanted a nice room with great room service. We accomplished both at the Hotel Monaco. The room service is impeccable and timely. My only issue besides the room rate is that the valet lost my friend's car and it took them 40 minutes to find it...and they only found it because she went looking for it herself. I read the reviews where some guests had issues with noise, but we did not. Very, very enjoyable and relaxing. Next time, we'll take advantage of some of the spa services.",4
20,20,"Absolutely Gorgeous Hotel Everything about this hotel was perfect. Our room had 2 queen beds and still plenty of space to move. The staff were friendly and the location of the hotel was perfect to where we wanted to go. It is within walking distance to pike place, shopping, restaurants etc. I can't fault this hotel i only wish we had more time there.",5
21,21,"Great stay at the hip Hotel Monaco Seattle Spent the evening of April 22nd, Tuesday. Read all the Trip Advisor reviews before I visited the Hotel Monaco Seattle and was most worried about street noise. Stayed on the the 7th floor facing the busy city street, but heard very faint, almost no vehicle noise which I was relieved. The hotel is located in the center of a big busy vibrant city, and I expect to hear a little normal street life noise, but thankfully there was not a noise problem.Besides the very cool gym, I also enjoyed the complimentary yoga equipment in my room with the video fitness workouts on TV. Loved the fun animal print bathrobes and cool toiletries and the offer of their trademark pet goldfish during my stay.Hotel staff was always friendly, from the housekeepers to Art and Amanda at the concierge  front desks were always smiling and very helpful. The doormen/valets always with a warm welcome as they opened the doors as guests enter the lobby. Evening complimentary wine and beer hour from 5-6pm nightly, and morning coffee in the lobby was a treat. Complimentary Wi-FI in rooms and lobby was another added touch of value. As principle, I get tired of being nickled and dimed by the big hotel chains. I am glad I can honestly recommend the Hotel Monaco.",5
22,22,"A Great Stay It was a great place to stay. The staff gave great suggestions of places to stop while I was in town and were very helpful. The location was very convenient, and I had a great view of the Seattle Library.I really have no complaints, it was a great stay and the price was excellent.",5
23,23,"hotel monaco April 10, 2008, this was the last stay of a college trip and wanted to splurge and relax. Booked because of the reviews read, disappointed because it was much less than i expected. the staff nice, but room small and overlooked the alley and a brick wall. Wish the clerk had told me the doubles overlooked the alley, $300. (includes tax and valet parking, one day) is too much, robes and a flat screen are not enough, nor the offers of a goldfish in a bowl. Will stay at another hotel next time.",3
24,24,"Good location, interesting amenities       View from sitting room into bedroom",4
25,25,"Room not what we were expecting I stayed in a Queen/Queen room with 3 other people. We all agreed that our room looked much nicer, brighter, funkier, warmer online than it did in person. In reality it was dark, and not sure what was going on with the decor- it was very tacky, and not the type of room i felt like hanging out it all day. I felt the bed was comfortable, but my friends felt it was far too soft. The person at the front desk when we first arrived was not very helpful. She was rather snobby and we felt like we were an inconvenience every time we asked her a question.On the plus side, the lobby was very nice. The complimentary happy hour every night between 5-6 was also a great bonus. The bellboy and valet were very friendly and quite helpful when we asked for suggestions on where to eat. And overall the hotel was very clean, which is a must for me. It was an okay stay. But i probably wouldn't stay there again, mostly because the room is not what I expected and though it was decent and clean, I guess it's not what I was looking for.",3
26,26,Great Hotel Another pet friendly hotel. They even have a resident hotel dog. We had a corner room which was large and well appointed. I love the funky chic decor. Comfortable reading chaise and lamp. The windows in our bathroom were huge! The had sliding shutters to block out any viewing! It was Christmas time and they had a beautiful tree in the lobby and gingerbread house made by the staff. It lent itself to the holiday spirit while we enjoyed the complimentary wine and champagne tasting. (Try not to miss it...they even have beer and non-acoholic drinks) I would pick this hotel over Hotel Vintage Park because they do have a small workout room. Some of the equipment didn't work...my only complaint...and nothing to wipe the equipment with either.,4
27,27,"Great Stay What a great stay. We went for a Seahawk game and it was awesome. The only downfall was the view at the building next to us, but we didn't complain. The room is was huge and the staff was helpful. We booked under the hotels website for the Seahawk package. No charge for parking and got a voucher for a taxi. Only problem was that the taxi driver didn't want to accept the voucher and barely spoke English. Funny thing was is that I speak Arabic and called him on it he started making comments about my girlfriend on his cell phone to his buddy. It took him a second to realize what I just said to him and the fact that I could speak his language, His face was priceless. He still was an ass and I told him off. That is to be said about anywhere in a large city. I told the head Doorman of the issue and he called the cab company promply for me to get an answer why they didn't take it. He apologized and offered to pay for the taxi. It was only a few bucks as you are 2 miles from the stadium. If you go for any game, plan on a taxi to get there...but the return you are going to be humpin it back. It was great walk though and we didn't mind. It was right before Christmas was wonderful to see all the lights. You will see the homeless stowed away in some of the building entrances, but they leave you alone for the most part. Police presence is not the greatest in that area as they are down at the stadium. Most activities was within 7 blocks (Pike Street, waterfront, etc) and great coffee shops along the way. The hotel is well mantained and the foyer is awesome. The wine tasting was available in the evening. I will be back and the best part is...you can take your dog. I will be taking my St. Bernard with me next time as he is part of the family. There are two safes in the hotel which one is located at the service desk and the either is in the room. Bathroom was huge and the jetted tub is huge. The funny part was when house keeping walked in on my girlfriend who was getting dressed. We didn't hear her knock and she was doing turn down service. She screamed, my girlfriend screams and I hit the floor laughing. They started talking Spanish at each other and it worked out. All in all....great place and I would recommend it to anyone for the price. Check online for their deals as they are just as good if not better. The besite contains deals and vouchers that other travel websites don't tell you about.",5
28,28,"Very happy and will stay again Came in with my husband, parents and little dog. Rooms were spotless, quiet and well furnished. Staff were fantastic and very helpful and catered even to my little shivering dog.Great location just a few blocks from the big shopping areas and Pike Place Market.",5
29,29,"Elegant but friendly, not stuffy My husband and I stayed here one night with our son and daughter-in-law in the next room. Our room looked out onto Spring Street. The room was not particularly large, but it was fine for our needs. The bathroom was all inclusive. It was all very luxurious except that the bathroom sink was very slow-draining. You have turn-down service, fun colorful bathrobes and the NY Times in the morning. There is a coffee maker but the one in our room had a defect. It said pause  pour but when I lifted the coffee pot it leaked all over which means the filter basket was missing the mechanism. The service was excellent from the valet to the bellman to the front desk people. You do not park your car in their lot, the only choice you have is to use the valet. It is about $30/day charge for the parking lot which is added to your bill and of course you tip the people each time they get your car so we only took the car out once to go to the Space Needle Restaurant. We walked to Pike Place Market and other places in the area. Bring good walking shoes and be prepared for hills. There is an Hour of Indulgence in the lobby from 5 to 6 p.m. but I really feel the word indulgence should be removed and they should just call it Happy Hour. They had one red wine, one white wine, one type of soda and absolutely nothing to eat. No snack to go with the drinks. I asked a woman who was pouring drinks if there was anything like peanuts -- anything at all and she said no, but that sounds like a good idea. I'm sure they have people ask all the time even though she acted like I was the first person who ever inquired. For such a fancy hotel, I was really surprised and wondered why they used the word indulgence. I have stayed at Inn Suites hotels where they have a happy hour with drinks and popcorn so you would think a Kimpton hotel would have some kind of snack.This is a pet-friendly hotel which was so surprising to me. I guess it just seems too elegant for that but I will say it was very clean and I never got the slightest hint of pet odors.There is a restaurant in this hotel, but we did not eat there so I can't comment on that.",4
30,30,"Love the Monaco and Its Staff My husband and I stayed in this hotel on a crazy weekend when we were attending a memorial service for my best friend's husband, and we were celebrating our 12th wedding anniversary. Talk about mixed emotions. We booked a suite and the hotel put us in the Monte Carlos one. We were loaned a beautiful fan-tanned goldfish named Joliet for the weekend, and we visited with the three dogs who worked the front desk, along with their human companions. The room was decorated nicely (though the couch could have used a few pillows). The L'Occitane bath amenities are always a welcome sight. The room was quiet and peaceful. The wireless Internet access was wonderful until the server went down the morning we were leaving so we had some problems printing our boarding passes. The afternoon reception serves oenophile-satisfying wine from Australia and scrumptious cookies. The restaurant was closed for renovation for a part of our stay but when we finally ate there, the food was good and the drinks were even better. One word of caution on the restaurant: if you are a larger person, do not sit at the booths because you won't fit. I'm 5'6 and 125 lbs; my husband is 5'9 and 175. The table was smack-against his stomach; and though I had a couple of inches space, it would be mighty uncomfortable if the patron is any larger or pregnant. Bad design, in my opinion, though the place is decorated in a funky and welcoming way with metal and wood, and handblown glass light fixtures that you'd expect in Seattle, the capital of the US glass art industry. We'd definitely stay here again for any reason.",5
31,31,"Warm  We booked our room on Seattle SuperSaver's site, since our normal Seattle Hotel was booked solid. What a treat---and we may have a new favorite hotel in Seattle.Staff: Fabulous, friendly and Helpful! Room: Spacious, light, roomy, clean and very comfortable.Goldfish: The true delight of my daughter.The 5 pm reception in the Lobby: Warm, inviting--usually I hate those receptions where strangers all get together---but this was nice---light--not pretentious.Location: Perfect for exploring Seattle.We loved it and will definetly return!",5
32,32,"Great Location, Customer Service 101 Needed! A great location to stay at. Hotel Monaco has a great reputation nationwide, but we found this hotel to have some issues. The room was very nice, Kathy the goldfish was a wonderful touch. However, the bathroom looked like an after thought. The shower was extremely small, like a phone booth, and not very clean. Also the front desk clerks provided minimum service. We wanted information on things to do, and since the concerige was unavailable we went to the front desk. We felt like we were intruding on their computer time and they provided minimum information, not even a smile from them. I would recommend management hold a customer service class.",3
33,33,"Cozy stay in a rainy city! My husband and I spent 7 nights at the Monaco in early January, 2008. Business trip for him - my chance to come along for the ride.We booked a Monte Carlo Suite which proved more than comfortable for our longish stay. We were in room 905 which is located on the street side of the building. Street noise was not a problem and the view had to be more interesting than that of rooms on the back of the building which look out at a dank alley and the midsection of a large office building. The suite was very comfortable with plenty of room to spread out. The bathroom was attractive and squeaky clean, but rather small in comparison to the generous proportions of the sitting and sleeping areas. Lots of comfortable seating options, good lighting and plenty of storage for clothing and luggage. Hotel staff were very friendly and efficient. Housekeeping staff did a great job and were more than pleasant. All requests were responded to quickly.The location is quite good. An easy walk to Pike Street Market, Seattle Art Museum (which is top notch) and many shopping and dining options.A very positive experience.",5
34,34,"Soft beds and stocked fridges I have stayed at about 3 of the Moncao branded hotels. The Seattle version is the least ornate out of all I have stayed at, but it still a beautiful hotel. We stayed 2 nights, and I had gotten a suite with a whirlpool tub to relax. Our A/C stopped working and we had to be moved to another room. Beware if you get a room with an alley view as the garbage trucks WILL wake you no matter what floor your are on. The glass was not soundproof as it was touted. Staff was friendly and helpful, the valets were quick to get our vehicle parked at their offsite garage.The beds are definatly made for sleeping. Very soft and plush, and theminifridges and snack cabinets have everything you could want. I have to say that the rooms do feel quite bland compared to their sister-hotels. I felt as if the room should have cost me about 50-60% of whatit did. Overall, I don't think I would stay at this particular hotel again, but I will continue to stay at Monacos. I sure love those goldfish. :)",3
35,35,"Pretty Good In Summary I quite like the Monaco. It has a good, but not completely central position in Seattle. It's a short walk (in a European way) to the centre. The common areas are smallish, but the staff are very friendly and helpful. The Bar is part of a popular restaurant so not intimate but does the job nonetheless. The room was good, the decor a little gaudy but if you like an individual style that will suit. The room was not huge but adequate and had most amenities. All in all a pretty good choice in Seattle",4
36,36,"Excellent staff ! except housekeeping A quality hotel chocked full of staff that make you feel at home. We experienced exceptional service from the front desk staff, the concierge and the door men, however the maid service needs some work. We found that our maid failed to tuck in our sheets at the foot of the bed and on one instance soiled sheets were used. The staff quickley resolved the soiled sheets issue. My guess this relates to one employee and is not a reflection on the rest of the staff.We received excellent advice from the concierge regarding resturants in the area, the happy hour wine tasting was a nice touch and the staff went out of their way to make you feel at home.Great location if you like to be close to good food and shopping, we took in a play at the 5th street theather as well.Pikes Market, Pioneer Square and access to the mono rail is within short walking distance.",4
37,37,"Superb downtown hotel This is a lovely Kimpton property in downtown Seattle. The hotel is four blocks away from Pike Street Market, six blocks from the convention center, and four from most downtown shopping. We felt safe walking around both day and night. We opted for a suite and the extra room was well worth the extra dollars. We had both a living room and a bedroom separated by heavy drapes. This allowed one of us to work early in the morning without disturbing the other. The room was cleverly decorated, the bed was comfortable with high count cotton sheets. Overall, the hotel was quiet with no street noise and very minimal hallway noise.The hotel staff is friendly and helpful. The concierge assisted us with dinner reservations throughout our stay. We would definitely recommend this hotel to couples and business travelers (free high-speed wireless internet in all rooms).",5
38,38,"Great Hotel! My fiancee and I stayed at the Hotel Monaco over the recent Thanksgiving holiday. The hotel is fantastic. The rooms are very comfortable and clean. A fun quirk - they will put a goldfish in your room if you like. The management is very responsive. During our second night, the people in the room next to us were extremely loud. When I told the manager this in the morning, I was immediately given 1/2 off the night's stay and moved to suite at no additional cost. The hotel location is ideal, within walking distance of the fishmarket, shops, bars and restaurants. I highly recommend staying here.",5
39,39,"Got a Goldfish for my Room! I have actually stayed at this hotel twice for a total of about two weeks.I enjoyed the downtown location and great room. However, if I had paid for a hotel myself, I wouldn't have splurged on it. I don't recall the exact rate, but it was around $300 per night. OUCH! The staff were friendly, but have their hand out for tips at every juncture.Valet parking is for the birds. Give me a parking lot and I'll get my own car, especially if I have to come and go more than once per day.Bottom line: If you have disposable income, this hotel is a place where you can feel pampered, but I'll stick to other options.",4
40,40,"Lovely staff, great for business I stayed at the Hotel Monaco Seattle during a conference for work. I otherwise probably would not have been able to stay there for four nights (it isn't cheap), but with work paying for it, I got to splurge a little.When I arrived the first night, it was just in time for their nightly wine happy hour. The woman at the desk let me know there were 10 minutes left and that I might want to swing through there before going to my room to get a couple glasses to take up with me. Yes indeed!The room was lovely; not as big or as posh as pictured, but I also hadn't reserved a suite. The bed was fantastic. Comfy, plush, great bedding. The room had its own temperature controls, so I was able to keep it a little on the cool side, which I prefer.The bathroom was clean and nice. They have L'Occitaine products, which I love, so that was a bonus. They have an ironing board, iron, and hairdryer in each room and many things you can request from the front.But the biggest bonus was the staff. Every single person was friendly, helpful, and genuine. I needed to receive and send a fax ... no problem (and no charge). I ordered room service one day ($28, ouch!), and the waiter was great. The doormen were consistently friendly. The desk staff was exceptional.Makes me wish I could afford to splurge on hotels like this on my own every once in a while!",5
41,41,"Good service, nice room, noisy though. We stayed at the Hotel Monaco for one night on our way to Victoria. Front desk staff was very helpful, valets and bellman also helpful. Stayed in a Monaco Suite, nice size room but we did hear neighbors on one side of us, and we did hear everything!!!! We were there with our beagle and they treated all three of us well. Enjoyed the afternoon wine and meeting other guests. Easy walk to most Seattle sites for us. We knew about the valet only parking ahead of time so were not surprised by it, would be nice to have a good self park option. We would stay there again for the same price.",4
42,42,"Fairly Enjoyable Visit We spent three nights at the Hotel Monaco in Seattle and it was enjoyable but nothing out of the ordinary for a four star hotel. We enjoy staying at Kimptons if we are in a city that has them. They were able to check us in early which was nice. Never once, though, were we asked if we needed help with our bags. We booked the Queen-Queen room and it was a fairly good size. The hotel was very clean and housekeeping did a great job each day. It was inconvenient not having an ice machine on our floor. We had to request a gold fish three times before we got one on the second day. The Fitness Center was very small with limited equipment.Of all the Kimptons we stayed in this one had the nicest lobby. It was very inviting and a great place to relax and read the paper. The evening social hour with complementary wine and beer was very nice. Like in the other Kimptons we have stayed in we always meet interesting people staying at the hotel. Didn't care for the Sazerac restaurant. The food wasn't bad but the service both times we ate there was terrible. Ordered room service once but had to cancel since they were forty minutes late and couldn't give us a delivery time.Don't think we would stay at this hotel again.",4
